image_path,plate_text,region,plate_type
plates/Belarus/4543XB-6.png,4543XB-6,BY,square
plates/Belarus/2931AO-0.png,2931AO-0,BY,square
plates/Belarus/7622AE-1.png,7622AE-1,BY,square
plates/Belarus/8560EE-5.png,8560EE-5,BY,square
plates/Belarus/4528IE-2.png,4528IE-2,BY,square
plates/Belarus/9611OH-0.png,9611OH-0,BY,square
plates/Belarus/5034BA-4.png,5034BA-4,BY,square
plates/Belarus/7422BB-0.png,7422BB-0,BY,square
plates/Belarus/4969XT-7.png,4969XT-7,BY,square
plates/Belarus/8168BE-5.png,8168BE-5,BY,square
plates/Belarus/7669BB-1.png,7669BB-1,BY,square
plates/Belarus/3588KB-1.png,3588KB-1,BY,square
plates/Belarus/2877PX-8.png,2877PX-8,BY,square
plates/Belarus/4692XP-0.png,4692XP-0,BY,square
plates/Belarus/3875XP-8.png,3875XP-8,BY,square
plates/Belarus/5510MC-1.png,5510MC-1,BY,square
plates/Belarus/1485MO-7.png,1485MO-7,BY,square
plates/Belarus/8651CM-1.png,8651CM-1,BY,square
plates/Belarus/8857AE-6.png,8857AE-6,BY,square
plates/Belarus/9377BM-3.png,9377BM-3,BY,square
plates/Belarus/7259AA-6.png,7259AA-6,BY,square
plates/Belarus/8999MM-7.png,8999MM-7,BY,square
plates/Belarus/6217XM-6.png,6217XM-6,BY,square
plates/Belarus/8185IC-8.png,8185IC-8,BY,square
plates/Belarus/7902MA-7.png,7902MA-7,BY,standard
plates/Belarus/9066BX-3.png,9066BX-3,BY,standard
plates/Belarus/7902XP-1.png,7902XP-1,BY,standard
plates/Belarus/7883XP-6.png,7883XP-6,BY,standard
plates/Belarus/7906TA-5.png,7906TA-5,BY,standard
plates/Belarus/9060PE-1.png,9060PE-1,BY,standard
plates/Belarus/7913MH-4.png,7913MH-4,BY,standard
plates/Belarus/0037CX-4.png,0037CX-4,BY,standard
plates/Belarus/9078OH-1.png,9078OH-1,BY,standard
plates/Belarus/7931PM-7.png,7931PM-7,BY,standard
plates/Belarus/0073BT-5.png,0073BT-5,BY,standard
plates/Belarus/7890AA-4.png,7890AA-4,BY,standard
